RequestNo,RequestDate,RequestType,AssetFacilityType,CapexRequestAmount,RegionCode,BranchCode,BranchName,RequestBU,RequestFunction,IsBudgeted,BudgetRefNo,UserRemarks,CurrentStatus,LastActionDate,LastActionRemarks,LastActionRejectionReason,LastActionBy,AssetCategoryName,AssetItemName,VendorProcType,ItemCategory,ItemRatePerQtyForCentralProcItems,AssetItemQty,AssetItemRatePerQty,AssetAddlCharges,AssetAddlChargesRemarks,AssetItemAmount,AssetItemRemarks,VendorName,Vendor_RatePerQty,Vendor_TotalAmount,Vendor_DeliveryPeriod,Vendor_PaymentTerms,IsSelectedVendor
CPX-A/B/202526/0145,28-07-2025,Asset,Asset for New/Upgrade of facility,1181040,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Rejected,29-07-2025,QTY is not matching the ask,Others,Authority - ARUNRAJA Karthick ,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,21,23617,0,,495957,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0146,29-07-2025,Asset,Asset for New/Upgrade of facility,1112860,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Approved,29-07-2025,,,User - Abhishek Gowda ,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,14,14411,0,,201754,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0146,29-07-2025,Asset,Asset for New/Upgrade of facility,1112860,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Approved,29-07-2025,,,User - Abhishek Gowda ,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11),Central,IT-Hardware,2600,14,2600,0,,36400,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0146,29-07-2025,Asset,Asset for New/Upgrade of facility,1112860,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Approved,29-07-2025,,,User - Abhishek Gowda ,COMPUTER,Wireless Barcode Scanner (Zebra LI4278),Central,IT-Hardware,12340,7,12340,0,,86380,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0146,29-07-2025,Asset,Asset for New/Upgrade of facility,1112860,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Approved,29-07-2025,,,User - Abhishek Gowda ,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,7,24860,0,,174020,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0146,29-07-2025,Asset,Asset for New/Upgrade of facility,1112860,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Approved,29-07-2025,,,User - Abhishek Gowda ,COMPUTER,HP 136nw Printer (MFP),Central,IT-Hardware,16907,7,16907,0,,118349,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0146,29-07-2025,Asset,Asset for New/Upgrade of facility,1112860,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Ops through IT,Yes,FY 25-26,For the requirement of India POST launch in the re,Approved,29-07-2025,,,User - Abhishek Gowda ,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,21,23617,0,,495957,For the requirement of India POST launch in the re,,0,0,,,
CPX-A/B/202526/0147,30-07-2025,Asset,Asset for New/Upgrade of facility,501075,B,B35,WHITE FIELD BRANCH - B35 (BO),Dom Exp,Ops,No,,DS Whitefield,Approved,30-07-2025,,,User - PRADEEP VUPPALA ,PLANT & MACHINERY,DS WHITEFIELD,Central,Operation,501075,1,501075,0,,501075,DS whitefield,,0,0,,,
CPX-A/B/202526/0148,30-07-2025,Asset,Asset for other reasons,5296500,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,fy 25-26,Pan India OPS IT assets Tech refreshment FY'26.Cen,Approved,30-07-2025,,,User - Hemavathi Kumar ,COMPUTER,ARUBA 2930F 24G 4SFP SWITCH (NON POE),Central,IT-Hardware,26500,81,26500,0,,2146500,Refreshment of L2 switches to L3 switches Phase 1,,0,0,,,
CPX-A/B/202526/0148,30-07-2025,Asset,Asset for other reasons,5296500,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,fy 25-26,Pan India OPS IT assets Tech refreshment FY'26.Cen,Approved,30-07-2025,,,User - Hemavathi Kumar ,COMPUTER,ARUBA 2930F 24G POE+ 4SFP SWITCH,Central,IT-Hardware,31500,100,31500,0,,3150000,Refreshment of L3 switches Phase 1,,0,0,,,
CPX-A/B/202526/0149,30-07-2025,Asset,Asset for other reasons,57331,B,B18,HASSAN BRANCH - B18 (BO),Dom Exp,Ops through IT,Yes,fy 25-26,"Existing UPS is obsolete model and unsupported, cr",Approved,30-07-2025,,,User - Hemavathi Kumar ,COMPUTER,2 KVA UPS upto 2 Hrs Backup (APC SRC2KUXI-IN),Central,Operation,57331,1,57331,0,,57331,"Existing UPS is obsolete model and unsupported, cr",,0,0,,,
CPX-A/B/202526/0150,01-08-2025,Asset,Asset for New/Upgrade of facility,60000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY25-26,HeadSets for USD Call centre and Infra Team member,Approved,01-08-2025,,,User - Karthikeyan G ,COMPUTER,JABRA EVOLVE 20 HEADSET,Central,IT-Hardware,3750,16,3750,0,,60000,HeadSets for USD and Infra Team members,,0,0,,,
CPX-A/B/202526/0151,01-08-2025,Asset,Asset for New/Upgrade of facility,37500,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Channel,Yes,FY25-26,Incubation Desk _ Smartflo Plan Details for Call M,Approved,01-08-2025,,,User - Karthikeyan G ,COMPUTER,JABRA EVOLVE 20 HEADSET,Central,IT-Hardware,3750,10,3750,0,,37500,Incubation Desk _ Smartflo Plan Details for Call M,,0,0,,,
CPX-A/B/202526/0152,01-08-2025,Asset,Asset for New/Upgrade of facility,720487,B,B59,SARAKKI BRANCH - B59 (BO),Dom Exp,Ops,No,,DS Sarakki,Approved,01-08-2025,,,User - PRADEEP VUPPALA ,PLANT & MACHINERY,DS SARAKKI,Central,Operation,720487,1,720487,0,,720487,DS Sarakki,,0,0,,,
CPX-A/B/202526/0153,07-08-2025,Asset,Asset for New/Upgrade of facility,10394000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 25-26,"Shipsy Services for the month of May and June, 440",Approved,07-08-2025,,,User - Abhishek Gowda ,SOFTWARE,SHIPSY SERVICES,Local,ITAPP,0,10394000,1,0,,10394000,"Shipsy Services for the month of May and June, 440", LLama Logisol Pvt Ltd,1,10394000,,,Yes
CPX-A/B/202526/0153,07-08-2025,Asset,Asset for New/Upgrade of facility,10394000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 25-26,"Shipsy Services for the month of May and June, 440",Approved,07-08-2025,,,User - Abhishek Gowda ,SOFTWARE,SHIPSY SERVICES,Local,ITAPP,0,10394000,1,0,,10394000,"Shipsy Services for the month of May and June, 440", LLama Logisol Pvt Ltd,1,10394000,,,-
CPX-A/B/202526/0153,07-08-2025,Asset,Asset for New/Upgrade of facility,10394000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 25-26,"Shipsy Services for the month of May and June, 440",Approved,07-08-2025,,,User - Abhishek Gowda ,SOFTWARE,SHIPSY SERVICES,Local,ITAPP,0,10394000,1,0,,10394000,"Shipsy Services for the month of May and June, 440", LLama Logisol Pvt Ltd,1,10394000,,,-
CPX-A/B/202526/0154,07-08-2025,Asset,Asset for New/Upgrade of facility,46570,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 25-26,Additional Budgeted position for IT Bangalore corp,Approved,07-08-2025,,,User - Abhishek Gowda ,COMPUTER,LAPTOP - MM,Central,IT-Hardware,46570,1,46570,0,,46570,Additional Budgeted position for IT Bangalore corp,,0,0,,,
CPX-A/B/202526/0155,08-08-2025,Asset,Asset for New/Upgrade of facility,12000,B,B36,BANGALORE NELAMANGALA APEX - B36 (HO),Dom Exp,vigilance,No,,"This capex is raised for HBLR, this is a component",Approved,09-08-2025,,,User - Arun Jadav ,PLANT & MACHINERY,CCTV - BRANCH,Central,Vigilance,12000,1,12000,0,,12000,"This capex is raised for HBLR, this is a component",,0,0,,,
CPX-A/B/202526/0156,11-08-2025,Asset,Asset for New/Upgrade of facility,540000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 25-26,CR efforts for the service period of 1st July 2025,Approved,11-08-2025,,,User - Abhishek Gowda ,SOFTWARE,MOBIOPPS CHANGE REQUEST (HOURS),Central,ITAPP,900,600,900,0,,540000,CR efforts for the service period of 1st July 2025,,0,0,,,
CPX-A/B/202526/0157,11-08-2025,Asset,Asset for New/Upgrade of facility,2062676,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Ops through IT,Yes,fy 25-26,the centralised capex has been raised for a reques,Approved,11-08-2025,,,User - Hemavathi Kumar ,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,22,14411,0,,317042,the capex has been raised for a request to acquire,,0,0,,,
CPX-A/B/202526/0157,11-08-2025,Asset,Asset for New/Upgrade of facility,2062676,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Ops through IT,Yes,fy 25-26,the centralised capex has been raised for a reques,Approved,11-08-2025,,,User - Hemavathi Kumar ,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,41,24860,0,,1019260,the capex has been raised for a request to acquire,,0,0,,,
CPX-A/B/202526/0157,11-08-2025,Asset,Asset for New/Upgrade of facility,2062676,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Ops through IT,Yes,fy 25-26,the centralised capex has been raised for a reques,Approved,11-08-2025,,,User - Hemavathi Kumar ,COMPUTER,HP 1008w Printer (SFP),Central,IT-Hardware,9400,22,9400,0,,206800,the capex has been raised for a request to acquire,,0,0,,,
CPX-A/B/202526/0157,11-08-2025,Asset,Asset for New/Upgrade of facility,2062676,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,Ops through IT,Yes,fy 25-26,the centralised capex has been raised for a reques,Approved,11-08-2025,,,User - Hemavathi Kumar ,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,22,23617,0,,519574,the capex has been raised for a request to acquire,,0,0,,,
CPX-A/B/202526/0158,12-08-2025,Asset,Asset for New/Upgrade of facility,39190,B,B07,CHAMRAJPET BRANCH - B07 (BO),Dom Exp,CS,Yes,1,"Its an Additional Position, For CRM Ecom, Budgeted",Approved,12-08-2025,,,User - GouthamRaj G ,COMPUTER,LAPTOP - JM,Central,IT-Hardware,39190,1,39190,0,,39190,"Its an Additional Position, For CRM Ecom, Budgeted",,0,0,,,
CPX-A/B/202526/0159,14-08-2025,Asset,Asset for other reasons,61780,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY25-26,Iphone and ipad for application team UAT testing,Approved,14-08-2025,,,User - Karthikeyan G ,COMPUTER,IPHONE 13 128GB,Central,IT-Hardware,38475,1,38475,0,,38475,for Application UAT teating,,0,0,,,
CPX-A/B/202526/0159,14-08-2025,Asset,Asset for other reasons,61780,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY25-26,Iphone and ipad for application team UAT testing,Approved,14-08-2025,,,User - Karthikeyan G ,COMPUTER,"IPAD 9TH GEN, WIFI",Central,IT-Hardware,23305,1,23305,0,,23305,ipad 9th Gen for Application UAT teating,,0,0,,,
CPX-A/B/202526/0160,18-08-2025,Asset,Asset for New/Upgrade of facility,46570,B,B07,CHAMRAJPET BRANCH - B07 (BO),Dom Exp,Ops,Yes,1,"Additional Position for L&D, Zonal Trainee, Approv",Approved,18-08-2025,,,User - GouthamRaj G ,COMPUTER,LAPTOP - MM,Central,IT-Hardware,46570,1,46570,0,,46570,"Additional Position for L&D, Zonal Trainee, Approv",,0,0,,,
CPX-A/B/202526/0161,18-08-2025,Asset,Asset for other reasons,268356,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,fy 25-26,"Requirement of asset Upgradtion for CFO & CIO, con",Approved,18-08-2025,,,User - Hemavathi Kumar ,COMPUTER,DYNABOOK-PORTÉGÉ X30L-K,Central,IT-Hardware,134178,2,134178,0,,268356,"Requirement of asset Upgradtion for CFO & CIO, con",,0,0,,,
CPX-A/B/202526/0162,19-08-2025,Asset,Asset for New/Upgrade of facility,144000,B,B36,BANGALORE NELAMANGALA APEX - B36 (HO),Dom Exp,vigilance,No,,this capex is raised for the CCTV installation at ,Approved,19-08-2025,,,User - Arun Jadav ,PLANT & MACHINERY,CCTV - BRANCH,Central,Vigilance,12000,12,12000,0,,144000,this capex is raised for the CCTV installation at ,,0,0,,,
CPX-A/B/202526/0163,20-08-2025,Asset,Asset for New/Upgrade of facility,1200000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 25-26,Ongoing Support for Tracking Project by Mafiree va,Sent for Approval,20-08-2025,,,User - Abhishek Gowda ,SOFTWARE,TRACKING SERVICE MODERNIZATION PROJECT (HOURS),Central,ITAPP,1600,750,1600,0,,1200000,Ongoing Support for Tracking Project by Mafiree  v,,0,0,,,
CPX-A/B/202526/0164,20-08-2025,Asset,Asset for New/Upgrade of facility,39190,B,B07,CHAMRAJPET BRANCH - B07 (BO),Dom Exp,Ops,Yes,1,Laptop for additional Position as Business Analyst,Approved,25-08-2025,,,User - GouthamRaj G ,COMPUTER,LAPTOP - JM,Central,IT-Hardware,39190,1,39190,0,,39190,Laptop for additional Position as Business Analyst,,0,0,,,
CPX-A/B/202526/0165,20-08-2025,Asset,Asset for New/Upgrade of facility,46570,B,B07,CHAMRAJPET BRANCH - B07 (BO),LTL,Ops,Yes,1,Name : Sourav Singha Deb  - C33110 Position : Hub ,Approved,25-08-2025,,,User - GouthamRaj G ,COMPUTER,LAPTOP - MM,Central,IT-Hardware,46570,1,46570,0,,46570,"Additional manpower for LTL operations, Approval t",,0,0,,,
CPX-A/B/202526/0166,20-08-2025,Asset,Asset for New/Upgrade of facility,46570,B,B07,CHAMRAJPET BRANCH - B07 (BO),LTL,Ops,Yes,1,Name : Sourav Singha Deb  - C33110 Position : Hub ,Approved,20-08-2025,,,User - GouthamRaj G ,COMPUTER,LAPTOP - MM,Central,IT-Hardware,46570,1,46570,0,,46570,"Additional manpower for LTL operations, Approval t",,0,0,,,
CPX-A/B/202526/0167,20-08-2025,Asset,Asset for New/Upgrade of facility,46570,B,B07,CHAMRAJPET BRANCH - B07 (BO),LTL,Ops,Yes,1,Name : Sourav Singha Deb  - C33110 Position : Hub ,Approved,25-08-2025,,,User - GouthamRaj G ,COMPUTER,LAPTOP - MM,Central,IT-Hardware,46570,1,46570,0,,46570,"Additional manpower for LTL operations, Approval t",,0,0,,,
CPX-A/B/202526/0168,20-08-2025,Asset,Asset for New/Upgrade of facility,46570,B,B07,CHAMRAJPET BRANCH - B07 (BO),LTL,Ops,Yes,1,Name : Sourav Singha Deb  - C33110 Position : Hub ,Approved,20-08-2025,,,User - GouthamRaj G ,COMPUTER,LAPTOP - MM,Central,IT-Hardware,46570,1,46570,0,,46570,"Additional manpower for LTL operations, Approval t",,0,0,,,
CPX-A/B/202526/0169,20-08-2025,Asset,Asset for New/Upgrade of facility,1200000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 25-26,Ongoing Support for  Tracking Project by Mafiree v,Sent for Approval,20-08-2025,,,User - Abhishek Gowda ,SOFTWARE,TRACKING SERVICE MODERNIZATION PROJECT (HOURS),Central,ITAPP,1600,750,1600,0,,1200000,Ongoing Support for Tracking Project by Mafiree  v,,0,0,,,
CPX-A/B/202526/0170,20-08-2025,Asset,Asset for New/Upgrade of facility,1200000,B,B15,CORPORATE OFFICE APEX - B15 (RO),Dom Exp,IT,Yes,FY 25-26,Ongoing Support for Tracking Project by Mafiree wi,Approved,20-08-2025,,,User - Abhishek Gowda ,COMPUTER,TRACKING SERVICE MODERNIZATION PROJECT (HOURS),Central,ITAPP,1600,750,1600,0,,1200000,Ongoing Support for Tracking Project by Mafiree wi,,0,0,,,
CPX-A/B15/202526/0001,03-06-2025,Asset,Asset for other reasons,39190,B15,GC001,VIRTAUL COUNTER CODE FOR RETAIL APP - DOM - CO CO ,Dom Exp,Ops,Yes,FY 25-26,Candidate Deployed in rapid commerce team in Proje,Sent for Approval,03-06-2025,,,User - Saurav Patil ,COMPUTER,LAPTOP - JM,Central,IT-ASSETS-OTHERS,39190,1,39190,0,,39190,Candidate Deployed in rapid commerce team in Proje,,0,0,,,
CPX-A/B15/202526/0002,04-06-2025,Asset,Asset for other reasons,46570,B15,GC001,VIRTAUL COUNTER CODE FOR RETAIL APP - DOM - CO CO ,Dom Exp,Channel,Yes,FY 25-26,Required person to lead the Channel training for P,Sent for Approval,04-06-2025,,,User - DIPAK KUMAR PRADHAN ,COMPUTER,LAPTOP - MM,Central,IT-ASSETS-OTHERS,46570,1,46570,0,,46570,Required person to lead the  Channel training for ,,0,0,,,
CPX-A/B15/202526/0003,04-06-2025,Asset,Asset for other reasons,46570,B15,GC001,VIRTAUL COUNTER CODE FOR RETAIL APP - DOM - CO CO ,Dom Exp,Channel,Yes,FY 25-26,Required person to lead the Channel training for P,Sent for Approval,04-06-2025,,,User - DIPAK KUMAR PRADHAN ,COMPUTER,LAPTOP - MM,Central,IT-ASSETS-OTHERS,46570,1,46570,0,,46570,Required person to lead the Channel training for P,,0,0,,,
CPX-A/B15/202526/0004,04-06-2025,Asset,Asset for other reasons,117570,B15,GC001,VIRTAUL COUNTER CODE FOR RETAIL APP - DOM - CO CO ,Dom Exp,Ops,Yes,FY 25-26,C32485-Rohit Sandip Nikam-Project Manager-JM 3 Gra,Sent for Approval,04-06-2025,,,User - DIPAK KUMAR PRADHAN ,COMPUTER,LAPTOP - JM,Central,IT-ASSETS-OTHERS,39190,3,39190,0,,117570,Deployed in rapid commerce team in Project Managem,,0,0,,,
CPX-A/C/202526/0006,16-05-2025,Asset,Asset for other reasons,94468,C,C74,THIRUVERKADU BRANCH - C74 (BO),Dom Exp,CS,Yes,FY25-26,"Name :A.Manimozhi,Keerthika R,Faritha Banu. A,Enak",Approved,22-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,THINCLIENT - NON OPS,Central,ITASSETS-NONOPS,23617,4,23617,0,,94468,"Name :A.Manimozhi,Keerthika R,Faritha Banu. A,Enak",,0,0,,,
CPX-A/C/202526/0007,21-06-2025,Asset,Asset for New/Upgrade of facility,120000,C,C59,KANCHEEPURAM BRANCH - C59 (BO),Dom Exp,vigilance,No,,"10 CCTV camera required, Express,LTL,Retails going",Sent for Approval,21-06-2025,,,User - jagabardeen shahul ,PLANT & MACHINERY,CCTV - BRANCH,Central,Vigilance,12000,10,12000,0,,120000,"10 cctv IP cameras, 24 port POE switch, NVR box an",,0,0,,,
CPX-A/C/202526/0008,24-06-2025,Asset,Asset for New/Upgrade of facility,120000,C,C59,KANCHEEPURAM BRANCH - C59 (BO),Dom Exp,vigilance,No,,"10 cameras required to cover LTL, Retails, 2 docks",Approved,24-06-2025,,,User - jagabardeen shahul ,PLANT & MACHINERY,CCTV - BRANCH,Central,Vigilance,12000,10,12000,0,,120000,"10-IP cameras, NVR, POE switch and necessary Cable",,0,0,,,
CPX-A/C/202526/0009,26-06-2025,Asset,Asset for New/Upgrade of facility,60826,C,C20,VELAPPANCHAVADI APEX - C20 (HO),Dom Exp,Admin,Yes,FY25-26,Requirement from Chennai call centre team .Kindly ,Approved,26-06-2025,,,User - VENKATESH P ,COMPUTER,Epson EB FH06 Projector,Central,Admin,60826,1,60826,0,,60826,projector Requirement from Chennai CALL CENTRE tEA,,0,0,,,
CPX-A/C/202526/0010,02-07-2025,Asset,Asset for New/Upgrade of facility,24000,C,C08,KATPADI BRANCH - C08 (SB),Dom Exp,vigilance,No,,2 ip cameras enough to cover 100 sq.ft. 1 for book,Approved,02-07-2025,,,User - jagabardeen shahul ,PLANT & MACHINERY,CCTV - BRANCH,Central,Vigilance,12000,2,12000,0,,24000,"2 Ip cameras and NVR, POE switch ,necessary cables",,0,0,,,
CPX-A/C/202526/0011,14-07-2025,Asset,Asset for other reasons,134120,C,C76,VELAPPANCHAVADI AIRPORT - C76 (HO),Dom Exp,Ops through IT,Yes,FY25-26,Additional requirement for INDIA POST Launch TN fr,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,2,14411,0,,28822,Additional Requirement for INDIA POST Launch TN fr,,0,0,,,
CPX-A/C/202526/0011,14-07-2025,Asset,Asset for other reasons,134120,C,C76,VELAPPANCHAVADI AIRPORT - C76 (HO),Dom Exp,Ops through IT,Yes,FY25-26,Additional requirement for INDIA POST Launch TN fr,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11),Central,IT-Hardware,2600,2,2600,0,,5200,Additonal rquirement for INDIA POST Launch TN from,,0,0,,,
CPX-A/C/202526/0011,14-07-2025,Asset,Asset for other reasons,134120,C,C76,VELAPPANCHAVADI AIRPORT - C76 (HO),Dom Exp,Ops through IT,Yes,FY25-26,Additional requirement for INDIA POST Launch TN fr,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,Wireless Barcode Scanner (Zebra LI4278),Central,IT-Hardware,12340,1,12340,0,,12340,Additional Requirement for INDIA POST Launch TN fr,,0,0,,,
CPX-A/C/202526/0011,14-07-2025,Asset,Asset for other reasons,134120,C,C76,VELAPPANCHAVADI AIRPORT - C76 (HO),Dom Exp,Ops through IT,Yes,FY25-26,Additional requirement for INDIA POST Launch TN fr,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,HP 136nw Printer (MFP),Central,IT-Hardware,16907,1,16907,0,,16907,Additonal rquirement for INDIA POST Launch TN from,,0,0,,,
CPX-A/C/202526/0011,14-07-2025,Asset,Asset for other reasons,134120,C,C76,VELAPPANCHAVADI AIRPORT - C76 (HO),Dom Exp,Ops through IT,Yes,FY25-26,Additional requirement for INDIA POST Launch TN fr,Approved,14-07-2025,,,User - Hemavathi Kumar ,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,3,23617,0,,70851,Additional Requirement for INDIA POST Launch in TN,,0,0,,,
CPX-A/C/202526/0012,11-08-2025,Asset,Asset for New/Upgrade of facility,24000,C,C08,KATPADI BRANCH - C08 (SB),Dom Exp,Channel,No,,Katpadi standalone retail counter require 2 cctv c,Approved,11-08-2025,,,User - jagabardeen shahul ,PLANT & MACHINERY,CCTV - BRANCH,Central,Vigilance,12000,2,12000,0,,24000,Katpadi standalone retail counter require 2 cctv c,,0,0,,,
CPX-A/C/202526/0013,14-08-2025,Asset,Asset for other reasons,12000,C,C14,AMINJIKARAI BRANCH - C14 (BO),Dom Exp,vigilance,No,,"16 Port POE switch required for Amanjikarai, exist",Approved,14-08-2025,,,User - jagabardeen shahul ,PLANT & MACHINERY,CCTV - BRANCH,Central,Vigilance,12000,1,12000,0,,12000,"16 Port POE switch required for Amanjikarai, exist",,0,0,,,
CPX-A/C/202526/0014,22-08-2025,Asset,Asset for New/Upgrade of facility,443855,C,C02,PONDICHERRY BRANCH - C02 (BO),Dom Exp,Ops,No,,DSBC02-PONDICHERRY BRANCH DS,Approved,22-08-2025,,,User - PRADEEP VUPPALA ,OFFICE EQUIPMENTS,DSBC02-PONDICHERRY BRANCH DS,Central,Operation,443855,1,443855,0,,443855,DSBC02-PONDICHERRY BRANCH DS,,0,0,,,
CPX-A/E/202526/0002,07-04-2025,Asset,Asset for New/Upgrade of facility,96000,E,E57,TIRUPUR SCS BRANCH - E57 (BO),LTL,IT,Yes,FY 24-25,CCTV system for Tirupur LTL New Location. Old came,Approved,28-04-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,CCTV - BRANCH,Central,VIGILANCE,12000,8,12000,0,,96000,CCTV system for Tirupur LTL New Location. Old came,,0,0,,,
CPX-A/E/202526/0003,23-04-2025,Asset,Asset for New/Upgrade of facility,60826,E,E01,COIMBATORE APEX - E01 (HO),Dom Exp,Admin,No,,Projector requirement for new integrated hub. appr,Approved,24-04-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,Epson EB FH06 Projector-Non-Ops,Central,ADMIN-ASSETS-OTHERS,60826,1,60826,0,,60826,Projector Requested for new integrated hub. Curren,,0,0,,,
CPX-A/E/202526/0004,05-05-2025,Asset,Asset for New/Upgrade of facility,106360,E,E01,COIMBATORE APEX - E01 (HO),Dom Exp,IT,Yes,FY 26-25,Landlord work scope Coimbatore New Hub Ops capex B,Rejected,04-06-2025,Use from stock,Available in the stock,Authority - ARUNRAJA Karthick ,COMPUTER,Aruba AP-515 (RW) Unified AP-NonOps,Central,ITASSETS-NONOPS,49322,2,49322,0,,98644,Landlord work scope Coimbatore New Hub Ops capex B,,0,0,,,
CPX-A/E/202526/0004,05-05-2025,Asset,Asset for New/Upgrade of facility,106360,E,E01,COIMBATORE APEX - E01 (HO),Dom Exp,IT,Yes,FY 26-25,Landlord work scope Coimbatore New Hub Ops capex B,Rejected,04-06-2025,Use from stock,Available in the stock,Authority - ARUNRAJA Karthick ,COMPUTER,Aruba AP Adapter (for AP-505 & AP-515)-NonOps,Central,ITASSETS-NONOPS,2572,3,2572,0,,7716,Landlord work scope Coimbatore New Hub budgeted un,,0,0,,,
CPX-A/E/202526/0005,05-05-2025,Asset,Asset for New/Upgrade of facility,81251,E,E01,COIMBATORE APEX - E01 (HO),Dom Exp,IT,Yes,FY 25-26,Landlord work scope Coimbatore New Hub Budgeted un,Approved,14-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11) - OPS,Central,ITASSETS-OPS,2600,4,2600,0,,10400,Landlord work scope Coimbatore New Hub Budgeted Un,,0,0,,,
CPX-A/E/202526/0005,05-05-2025,Asset,Asset for New/Upgrade of facility,81251,E,E01,COIMBATORE APEX - E01 (HO),Dom Exp,IT,Yes,FY 25-26,Landlord work scope Coimbatore New Hub Budgeted un,Approved,14-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,THINCLIENT - OPS,Central,ITASSETS-OPS,23617,3,23617,0,,70851,Landlord work scope Coimbatore New Hub Budgeted un,,0,0,,,
CPX-A/E/202526/0006,05-05-2025,Asset,Asset for New/Upgrade of facility,60140,E,E01,COIMBATORE APEX - E01 (HO),Dom Exp,IT,Yes,FY 25-26,Landlord work scope Coimbatore New Hub budgeted un,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,HP 136nw Printer (MFP)-Ops,Central,ITASSETS-OPS,16907,1,16907,0,,16907,Landlord work scope Coimbatore New Hub Budgeted un,,0,0,,,
