RequestNo,RequestDate,RequestType,AssetFacilityType,CapexRequestAmount,RegionCode,BranchCode,BranchName,Zone,Region,RequestBU,RequestFunction,IsBudgeted,BudgetRefNo,UserRemarks,CurrentStatus,LastActionDate,LastActionRemarks,LastActionRejectionReason,LastActionBy,AssetCategoryName,AssetCategoryName_2,AssetItemName,VendorProcType,ItemCategory,ItemRatePerQtyForCentralProcItems,AssetItemQty,AssetItemRatePerQty,AssetAddlCharges,AssetAddlChargesRemarks,AssetItemAmount,AssetItemRemarks,VendorName,Vendor_RatePerQty,Vendor_TotalAmount,Vendor_DeliveryPeriod,Vendor_PaymentTerms,IsSelectedVendor
CPX-A/M/202526/0071,24-06-2025,Asset,Asset for other reasons,4934364,M,M79,DTDC CORPORATE OFFICE - M79 (HO),West,MUM,Dom Exp,Ops,Yes,FY 25-26,Partial Qty released as per MHE Budget FY25-26. Th,Approved,24-06-2025,,,User - Rahul Sethi ,PLANT & MACHINERY,PLANT & MACHINERY,Hydraulic Trolley / Hand Pallet Truck (HPT) - 685m,Central,Operation,22000,98,22000,0,,2156000,Partial Qty released as per MHE Budget FY25-26 - 2,,0,0,,,
CPX-A/M/202526/0073,24-06-2025,Asset,Asset for other reasons,2438240,M,M79,DTDC CORPORATE OFFICE - M79 (HO),West,MUM,Dom Exp,Ops,Yes,FY 25-26,Partial Qty released as per MHE Budget FY25-26. Th,Approved,11-07-2025,,,User - Rahul Sethi ,COMPUTER,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11),Central,IT-Hardware,2600,39,2600,0,,101400,Partial Qty released as per MHE Budget FY25-26 - 2,,0,0,,,
CPX-A/M/202526/0073,24-06-2025,Asset,Asset for other reasons,2438240,M,M79,DTDC CORPORATE OFFICE - M79 (HO),West,MUM,Dom Exp,Ops,Yes,FY 25-26,Partial Qty released as per MHE Budget FY25-26. Th,Approved,11-07-2025,,,User - Rahul Sethi ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,94,24860,0,,2336840,Partial Qty released as per MHE Budget FY25-26 - 2,,0,0,,,
CPX-A/M/202526/0074,28-06-2025,Asset,Asset for other reasons,210945,M,M61,DAHISAR BRANCH - M61 (BO),West,MUM,Dom Exp,Ops through IT,Yes,FY25-26,These additional requirements for the Dahisar Bran,Approved,01-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,Desktop / PC (Dell/Lenovo/HP),Central,IT-Hardware,45455,3,45455,0,,136365,These additional requirements for the Dahisar Bran,,0,0,,,
CPX-A/M/202526/0074,28-06-2025,Asset,Asset for other reasons,210945,M,M61,DAHISAR BRANCH - M61 (BO),West,MUM,Dom Exp,Ops through IT,Yes,FY25-26,These additional requirements for the Dahisar Bran,Approved,01-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,3,24860,0,,74580,These additional requirements for the Dahisar Bran,,0,0,,,
CPX-A/M/202526/0077,01-07-2025,Asset,Asset for other reasons,2467970,M,M79,DTDC CORPORATE OFFICE - M79 (HO),West,MUM,Dom Exp,Ops,Yes,FY 25-26,Partial Qty released as per MHE Budget FY25-26 - 2,Approved,01-07-2025,,,User - Rahul Sethi ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Pallets (Nilkamal),Central,Operation,2773,890,2773,0,,2467970,Partial Qty released as per MHE Budget FY25-26 for,,0,0,,,
CPX-A/M/202526/0078,01-07-2025,Asset,Asset for other reasons,3216680,M,M79,DTDC CORPORATE OFFICE - M79 (HO),West,MUM,Dom Exp,Ops,Yes,FY 25-26,Partial Qty released as per MHE Budget FY25-26 - 2,Approved,03-07-2025,,,User - Rahul Sethi ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Pallets (Nilkamal),Central,Operation,2773,1160,2773,0,,3216680,Partial Qty released as per MHE Budget FY25-26 for,,0,0,,,
CPX-A/M/202526/0083,14-07-2025,Asset,Asset for other reasons,1702164.75,M,M79,DTDC CORPORATE OFFICE - M79 (HO),West,MUM,Dom Exp,Ops,Yes,FY 25-26,Partial Qty of shopping trolley as per Ops MHE bud,Approved,14-07-2025,,,User - Rahul Sethi ,PLANT & MACHINERY,PLANT & MACHINERY,240LTRS SHOPPING TROLLEYS,Central,Operation,8729.05,195,8729.05,0,,1702164.75,Partial Qty of shopping trolley as per Ops MHE bud,,0,0,,,
CPX-A/M/202526/0092,28-07-2025,Asset,Asset for other reasons,14411,M,M05,GOREGAON BRANCH - M05 (BO),West,MUM,Dom Exp,Ops through IT,Yes,fy 25-26,Addl requirement in Mumbai regn for a new business,Approved,28-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,1,14411,0,,14411,Add.Requirement to start a new business from Prama,,0,0,,,
CPX-A/M/202526/0093,29-07-2025,Asset,Asset for other reasons,124300,M,M10,MUMBAI SAKINAKA APEX - M10 (HO),West,MUM,Dom Exp,Ops through IT,Yes,fy 25-26,Requirement of HHT device for GOR operation due to,Approved,30-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,5,24860,0,,124300,Requirement of HHT device for GOR operation due to,,0,0,,,
CPX-A/M/202526/0094,31-07-2025,Asset,Asset for New/Upgrade of facility,188716,M,M04,MIDC BRANCH - M04 (BO),West,MUM,Dom Exp,Ops through IT,Yes,fy 25-26,Requirement of MHE IT assets for Reloacation of M0,Approved,31-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,Aruba AP Adapter (for AP-505 & AP-515),Central,IT-Hardware,2572,1,2572,0,,2572,Requirement of MHE IT assets for Reloacation of M0,,0,0,,,
CPX-A/M/202526/0094,31-07-2025,Asset,Asset for New/Upgrade of facility,188716,M,M04,MIDC BRANCH - M04 (BO),West,MUM,Dom Exp,Ops through IT,Yes,fy 25-26,Requirement of MHE IT assets for Reloacation of M0,Approved,31-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,Aruba AP-505 (RW) Unified AP,Central,IT-Hardware,31372,1,31372,0,,31372,Requirement of MHE IT assets for Reloacation of M0,,0,0,,,
CPX-A/M/202526/0094,31-07-2025,Asset,Asset for New/Upgrade of facility,188716,M,M04,MIDC BRANCH - M04 (BO),West,MUM,Dom Exp,Ops through IT,Yes,fy 25-26,Requirement of MHE IT assets for Reloacation of M0,Approved,31-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,1,14411,0,,14411,Requirement of MHE IT assets for Reloacation of M0,,0,0,,,
CPX-A/M/202526/0094,31-07-2025,Asset,Asset for New/Upgrade of facility,188716,M,M04,MIDC BRANCH - M04 (BO),West,MUM,Dom Exp,Ops through IT,Yes,fy 25-26,Requirement of MHE IT assets for Reloacation of M0,Approved,31-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,2,24860,0,,49720,Requirement of MHE IT assets for Reloacation of M0,,0,0,,,
CPX-A/M/202526/0094,31-07-2025,Asset,Asset for New/Upgrade of facility,188716,M,M04,MIDC BRANCH - M04 (BO),West,MUM,Dom Exp,Ops through IT,Yes,fy 25-26,Requirement of MHE IT assets for Reloacation of M0,Approved,31-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,HP 136nw Printer (MFP),Central,IT-Hardware,16907,1,16907,0,,16907,Requirement of MHE IT assets for Reloacation of M0,,0,0,,,
CPX-A/M/202526/0094,31-07-2025,Asset,Asset for New/Upgrade of facility,188716,M,M04,MIDC BRANCH - M04 (BO),West,MUM,Dom Exp,Ops through IT,Yes,fy 25-26,Requirement of MHE IT assets for Reloacation of M0,Approved,31-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,2,23617,0,,47234,Requirement of MHE IT assets for Reloacation of M0,,0,0,,,
CPX-A/M/202526/0094,31-07-2025,Asset,Asset for New/Upgrade of facility,188716,M,M04,MIDC BRANCH - M04 (BO),West,MUM,Dom Exp,Ops through IT,Yes,fy 25-26,Requirement of MHE IT assets for Reloacation of M0,Approved,31-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,ARUBA 2930F 24G 4SFP SWITCH (NON POE),Central,IT-Hardware,26500,1,26500,0,,26500,Requirement of MHE IT assets for Reloacation of M0,,0,0,,,
CPX-A/M/202526/0095,04-08-2025,Asset,Asset for New/Upgrade of facility,254408,M,M54,MAROL BRANCH - M54 (BO),West,MUM,Dom Exp,Ops,Yes,FY 2025-26,Racks are required at the following locations in t,Approved,04-08-2025,,,User - Nirmal Jha ,PLANT & MACHINERY,PLANT & MACHINERY,Slotted Angle Racks,Local,Operation,0,44,4900,38808,GST,254408,Racks are required at the following locations in t,JD INDUSTRIES,4900,254408,15 working days,50% Payment upon release of Purchase Order;50% Pay,Yes
CPX-A/M/202526/0096,05-08-2025,Asset,Asset for other reasons,38028,M,M05,GOREGAON BRANCH - M05 (BO),West,MUM,Dom Exp,Ops through IT,Yes,fy 25-26,Requirement for the smooth operatinons in the cust,Approved,05-08-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,1,14411,0,,14411,Requirement for the smooth operatinons in the cust,,0,0,,,
CPX-A/M/202526/0096,05-08-2025,Asset,Asset for other reasons,38028,M,M05,GOREGAON BRANCH - M05 (BO),West,MUM,Dom Exp,Ops through IT,Yes,fy 25-26,Requirement for the smooth operatinons in the cust,Approved,05-08-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,1,23617,0,,23617,Requirement for the smooth operatinons in the cust,,0,0,,,
CPX-A/M/202526/0099,13-08-2025,Asset,Asset for other reasons,1941100,M,M79,DTDC CORPORATE OFFICE - M79 (HO),West,MUM,Dom Exp,Ops,Yes,FY 25-26,Partial Qty released as part of Ops MHE Budget FY2,Approved,13-08-2025,,,User - Rahul Sethi ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Pallets (Nilkamal),Central,Operation,2773,700,2773,0,,1941100,Partial Qty released as part of Ops MHE Budget FY2,,0,0,,,
CPX-A/M/202526/0100,13-08-2025,Asset,Asset for other reasons,730424,M,M79,DTDC CORPORATE OFFICE - M79 (HO),West,MUM,Dom Exp,Ops,Yes,FY 25-26,Partial Qty released as part of Ops MHE Budget FY2,Approved,14-08-2025,,,User - Rahul Sethi ,PLANT & MACHINERY,PLANT & MACHINERY,Plastic Crates - 810 x 568 x 425mm (Nilkamal),Central,Operation,1148,138,1148,0,,158424,Partial Qty released as part of Ops MHE Budget FY2,,0,0,,,
CPX-A/M/202526/0100,13-08-2025,Asset,Asset for other reasons,730424,M,M79,DTDC CORPORATE OFFICE - M79 (HO),West,MUM,Dom Exp,Ops,Yes,FY 25-26,Partial Qty released as part of Ops MHE Budget FY2,Approved,14-08-2025,,,User - Rahul Sethi ,PLANT & MACHINERY,PLANT & MACHINERY,Hydraulic Trolley / Hand Pallet Truck (HPT) - 685m,Central,Operation,22000,26,22000,0,,572000,Partial Qty released as part of Ops MHE Budget FY2,,0,0,,,
CPX-A/M/202526/0101,13-08-2025,Asset,Asset for other reasons,1441880,M,M79,DTDC CORPORATE OFFICE - M79 (HO),West,MUM,Dom Exp,Ops,Yes,FY 25-26,Partial Qty released as part of Ops MHE Budget FY2,Approved,21-08-2025,,,User - Rahul Sethi ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,58,24860,0,,1441880,Partial Qty released as part of Ops MHE Budget FY2,,0,0,,,
CPX-A/M/202526/0104,26-08-2025,Asset,Asset for other reasons,991218,M,M10,MUMBAI SAKINAKA APEX - M10 (HO),West,MUM,Dom Exp,Ops,Yes,FY 25-26,Bag Trolley for West Zone (total 55 Qty) as part o,Sent for Approval,26-08-2025,,,User - Rahul Sethi ,PLANT & MACHINERY,PLANT & MACHINERY,Bag Carrying Trolley,Local,Operation,0,55,15273,151203,GST,991218,Bag Trolley for West Zone (total 55 Qty) as part o,Radhe Krishna Associates,15273,991218,40 days,50% advance and balance within 30 days of delivery,Yes
CPX-A/N/202526/0016,25-04-2025,Asset,Asset for other reasons,11011,N,N05,DELHI SAMALKHA APEX - N05 (HO),North,NDL,Dom Exp,Ops through IT,Yes,FY25-26,Requirement of new Thermal Printer for the JML bra,Approved,26-04-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITHOUT BLUETOOTH) - OP,Central,ITASSETS-OPS,11011,1,11011,0,,11011,Requirement of new Thermal Printer for the JML bra,,0,0,,,
CPX-A/N/202526/0019,15-05-2025,Asset,Asset for New/Upgrade of facility,15600,N,N32,NOIDA PH3 BRANCH - N32 (BO),North,NDL,Dom Exp,Admin,No,,"Old Wooden Almira is damage due to Termite, all IT",Approved,31-05-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,PLANT & MACHINERY,ALMIRAH-Ops,Local,OPSMHE&FACILITYASSET,0,1,15600,0,Transportation is included & GST is extra,15600,One New Wooden Almira is required IT department  ,Amarnath Wood Works,15600,15600,7 days,50% advance & 50% after completion of work,Yes
CPX-A/N/202526/0024,28-05-2025,Asset,Asset for New/Upgrade of facility,145350,N,N05,DELHI SAMALKHA APEX - N05 (HO),North,NDL,Dom Exp,Admin,Yes,FY25-26,"Overall, L1 Vendor is DCG Tech Limited 1:-  3 New ",Approved,29-05-2025,,,Authority - Aneel Gambhir ,OFFICE EQUIPMENTS,PLANT & MACHINERY,COOLER-Ops,Local,OPSMHE&FACILITYASSET,0,18,7925,2700,Transportation is added & GST is Extra,145350,"Overall, L1 Vendor is DCG Tech Limited 1:-  3 New ",DCG Tech Limited,7925,145350,7 days,100% after completion of work,Yes
CPX-A/N/202526/0036,03-07-2025,Asset,Asset for New/Upgrade of facility,33944,N,N15,DURGAPURI BRANCH - N15 (BO),NORTH,NDL,Dom Exp,Ops,No,,Durgapuri Branch,Approved,03-07-2025,,,User - PRADEEP VUPPALA ,OFFICE EQUIPMENTS,PLANT & MACHINERY,ARUBA AP-505 (RW) UNIFIED AP + ADAPTOR,Central,Operation,33944,1,33944,0,,33944,ARUBA AP-505 (RW) UNIFIED AP + ADAPTOR,,0,0,,,
CPX-A/N/202526/0043,28-07-2025,Asset,Asset for New/Upgrade of facility,50368,N,N02,TRANSYAMUNA BRANCH - N02 (BO),North,NDL,Dom Exp,Ops through IT,Yes,fy 25-26,Addiitonal requirment for TY Branch due to the bus,Approved,28-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,1,14411,0,,14411,requirement for tY branch,,0,0,,,
CPX-A/N/202526/0043,28-07-2025,Asset,Asset for New/Upgrade of facility,50368,N,N02,TRANSYAMUNA BRANCH - N02 (BO),North,NDL,Dom Exp,Ops through IT,Yes,fy 25-26,Addiitonal requirment for TY Branch due to the bus,Approved,28-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,Wireless Barcode Scanner (Zebra LI4278),Central,IT-Hardware,12340,1,12340,0,,12340,Requirment for TY branch ,,0,0,,,
CPX-A/N/202526/0043,28-07-2025,Asset,Asset for New/Upgrade of facility,50368,N,N02,TRANSYAMUNA BRANCH - N02 (BO),North,NDL,Dom Exp,Ops through IT,Yes,fy 25-26,Addiitonal requirment for TY Branch due to the bus,Approved,28-07-2025,,,User - Hemavathi Kumar ,COMPUTER,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,1,23617,0,,23617,Additional requirement for TY branch ,,0,0,,,
CPX-A/N/202526/0044,28-07-2025,Asset,Asset for other reasons,8421,N,N02,TRANSYAMUNA BRANCH - N02 (BO),North,NDL,Dom Exp,Ops through IT,Yes,fy 25-26, Addiitonal requirment for TY Branch due to the bu,Approved,29-07-2025,,,User - Hemavathi Kumar ,PLANT & MACHINERY,PLANT & MACHINERY,Weighing Machine - 35 kgs (Essae),Central,Operation,8421,1,8421,0,,8421,Addiitonal requirment for TY Branch due to the bus,,0,0,,,
CPX-A/N/202526/0048,25-08-2025,Asset,Asset for New/Upgrade of facility,15930,N,N05,DELHI SAMALKHA APEX - N05 (HO),North,NDL,Dom Exp,Ops,Yes,FY 2025-26,Request approval for Bag Carrying Trolley,Sent for Approval,25-08-2025,,,User - Nirmal Jha ,PLANT & MACHINERY,PLANT & MACHINERY,Bag Carrying Trolley,Local,Operation,0,1,13500,2430,GST,15930,Cost for Bag Carrying Trolley,Build My Infra,13500,15930,Deliver 45 days.,50 % advance along with PO and balance before mate,Yes
CPX-A/N/202526/0050,26-08-2025,Asset,Asset for other reasons,1268471,N,N05,DELHI SAMALKHA APEX - N05 (HO),North,NDL,Dom Exp,Ops,Yes,FY 25-26,Bag Trolley for North Zone (total 75 Qty) as part ,Sent for Approval,26-08-2025,,,User - Rahul Sethi ,PLANT & MACHINERY,PLANT & MACHINERY,Bag Carrying Trolley,Local,Operation,0,75,14333,193496,GST,1268471,Bag Trolley for North Zone (total 75 Qty) as part ,Radhe Krishna Associates,14333,1268471,30 days,50% advance and balance within 30 days of delivery,Yes
CPX-A/O/202526/0022,03-05-2025,Asset,Asset for New/Upgrade of facility,33526.5,O,O93,CHALAKUDY BRANCH - O93 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 26 ITOP Bdgt,Chalakudy New Branch (O93)Opening ,Approved,08-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Weighing Machine - 35 kgs (Essae)-Ops,Central,OPSMHE&FACILITYASSET,8421,2,8421,0,,16842,for Doc  Operations ,,0,0,,,
CPX-A/O/202526/0022,03-05-2025,Asset,Asset for New/Upgrade of facility,33526.5,O,O93,CHALAKUDY BRANCH - O93 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 26 ITOP Bdgt,Chalakudy New Branch (O93)Opening ,Approved,08-05-2025,,,Authority - Aneel Gambhir ,PLANT & MACHINERY,PLANT & MACHINERY,Weighing Machine - 300 kgs (Essae)-Ops,Central,OPSMHE&FACILITYASSET,16684.5,1,16684.5,0,,16684.5,For Chalakudy  NDX Operations,,0,0,,,
CPX-A/O/202526/0023,03-05-2025,Asset,Asset for New/Upgrade of facility,383261,O,O93,CHALAKUDY BRANCH - O93 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 26 ITOP Bdgt,For newly opening Chalakudy  Branch (O93) ,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,3 KVA UPS with 2 Hrs Backup (APC SRC3KUXI-IN)-Ops,Central,ITASSETS-OPS,72796,1,72796,0,,72796,for Chalakudy New Branch,,0,0,,,
CPX-A/O/202526/0023,03-05-2025,Asset,Asset for New/Upgrade of facility,383261,O,O93,CHALAKUDY BRANCH - O93 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 26 ITOP Bdgt,For newly opening Chalakudy  Branch (O93) ,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,Desktop / PC (Dell/Lenovo/HP)-Ops,Central,ITASSETS-OPS,45455,3,45455,0,,136365,"Chalakudy New Branch Manager, DMC, & Retail counte",,0,0,,,
CPX-A/O/202526/0023,03-05-2025,Asset,Asset for New/Upgrade of facility,383261,O,O93,CHALAKUDY BRANCH - O93 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 26 ITOP Bdgt,For newly opening Chalakudy  Branch (O93) ,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,HP 136nw Printer (MFP)-Ops,Central,ITASSETS-OPS,16907,1,16907,0,,16907,For Chalakudy new Branch ,,0,0,,,
CPX-A/O/202526/0023,03-05-2025,Asset,Asset for New/Upgrade of facility,383261,O,O93,CHALAKUDY BRANCH - O93 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 26 ITOP Bdgt,For newly opening Chalakudy  Branch (O93) ,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI- OPS,Central,ITASSETS-OPS,24860,2,24860,0,,49720,Chalakudy New Branch Operations,,0,0,,,
CPX-A/O/202526/0023,03-05-2025,Asset,Asset for New/Upgrade of facility,383261,O,O93,CHALAKUDY BRANCH - O93 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 26 ITOP Bdgt,For newly opening Chalakudy  Branch (O93) ,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11) - OPS,Central,ITASSETS-OPS,2600,3,2600,0,,7800,Chalakudy New Branch Operations,,0,0,,,
CPX-A/O/202526/0023,03-05-2025,Asset,Asset for New/Upgrade of facility,383261,O,O93,CHALAKUDY BRANCH - O93 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 26 ITOP Bdgt,For newly opening Chalakudy  Branch (O93) ,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH) - OPS,Central,ITASSETS-OPS,14411,2,14411,0,,28822,for Chalakudy New Branch Operations ,,0,0,,,
CPX-A/O/202526/0023,03-05-2025,Asset,Asset for New/Upgrade of facility,383261,O,O93,CHALAKUDY BRANCH - O93 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 26 ITOP Bdgt,For newly opening Chalakudy  Branch (O93) ,Approved,06-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,THINCLIENT - OPS,Central,ITASSETS-OPS,23617,3,23617,0,,70851,Chalakudy New Branch Operations ,,0,0,,,
CPX-A/O/202526/0024,03-05-2025,Asset,Asset for New/Upgrade of facility,51894,O,O93,CHALAKUDY BRANCH - O93 (BO),South,COK,Dom Exp,IT,Yes,FY 26 ITOP Bdgt,For newly Opening Chalakudy New Branch (O93),Approved,08-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,Aruba AP-515 (RW) Unified AP-NonOps,Central,ITASSETS-NONOPS,49322,1,49322,0,,49322,For Chalakudy New Branch Operations Wi FI Network ,,0,0,,,
CPX-A/O/202526/0024,03-05-2025,Asset,Asset for New/Upgrade of facility,51894,O,O93,CHALAKUDY BRANCH - O93 (BO),South,COK,Dom Exp,IT,Yes,FY 26 ITOP Bdgt,For newly Opening Chalakudy New Branch (O93),Approved,08-05-2025,,,Authority - Aneel Gambhir ,COMPUTER,COMPUTER,Aruba AP Adapter (for AP-505 & AP-515)-NonOps,Central,ITASSETS-NONOPS,2572,1,2572,0,,2572,For Chalakudy New Branch Wifi Network Axis Point ,,0,0,,,
CPX-A/O/202526/0028,25-08-2025,Asset,Asset for New/Upgrade of facility,92611,O,O94,PERINTHALMANNA BRANCH - O94 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 25-26,MHE-IT assets requirement for new Perinthalmanna b,Sent for Approval,25-08-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,3 KVA UPS upto 1 Hr Backup (APC SRC3KUXI-IN),Central,Operation,67348,1,67348,0,,67348,MHE-IT assets requirement for new Perinthalmanna b,,0,0,,,
CPX-A/O/202526/0028,25-08-2025,Asset,Asset for New/Upgrade of facility,92611,O,O94,PERINTHALMANNA BRANCH - O94 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 25-26,MHE-IT assets requirement for new Perinthalmanna b,Sent for Approval,25-08-2025,,,User - Abhishek Gowda ,PLANT & MACHINERY,PLANT & MACHINERY,Weighing Machine - 35 kgs (Essae),Central,Operation,8421,3,8421,0,,25263,MHE-IT assets requirement for new Perinthalmanna b,,0,0,,,
CPX-A/O/202526/0029,26-08-2025,Asset,Asset for New/Upgrade of facility,303755,O,O94,PERINTHALMANNA BRANCH - O94 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 25-26,mHE-IT Assets requirement for Perinthalmanna branc,Sent for Approval,26-08-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,Aruba AP Adapter (for AP-505 & AP-515),Central,IT-Hardware,2572,1,2572,0,,2572,mHE-IT Assets requirement for  Perinthalmanna bran,,0,0,,,
CPX-A/O/202526/0029,26-08-2025,Asset,Asset for New/Upgrade of facility,303755,O,O94,PERINTHALMANNA BRANCH - O94 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 25-26,mHE-IT Assets requirement for Perinthalmanna branc,Sent for Approval,26-08-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,Aruba AP-505 (RW) Unified AP,Central,IT-Hardware,31372,1,31372,0,,31372,mHE-IT Assets requirement for Perinthalmanna branc,,0,0,,,
CPX-A/O/202526/0029,26-08-2025,Asset,Asset for New/Upgrade of facility,303755,O,O94,PERINTHALMANNA BRANCH - O94 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 25-26,mHE-IT Assets requirement for Perinthalmanna branc,Sent for Approval,26-08-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,TSC DA220 BARCODE PRINTER (WITH BLUETOOTH),Central,IT-Hardware,14411,2,14411,0,,28822,mHE-IT Assets requirement for  Perinthalmanna bran,,0,0,,,
CPX-A/O/202526/0029,26-08-2025,Asset,Asset for New/Upgrade of facility,303755,O,O94,PERINTHALMANNA BRANCH - O94 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 25-26,mHE-IT Assets requirement for Perinthalmanna branc,Sent for Approval,26-08-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,WIRED BARCODE SCANNER (NEWLAND HR11),Central,IT-Hardware,2600,3,2600,0,,7800,mHE-IT Assets requirement for  Perinthalmanna bran,,0,0,,,
CPX-A/O/202526/0029,26-08-2025,Asset,Asset for New/Upgrade of facility,303755,O,O94,PERINTHALMANNA BRANCH - O94 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 25-26,mHE-IT Assets requirement for Perinthalmanna branc,Sent for Approval,26-08-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,MT90 HANDHELD TERMINAL DEVICE (HHT)- WIFI,Central,IT-Hardware,24860,3,24860,0,,74580,mHE-IT Assets requirement for  Perinthalmanna bran,,0,0,,,
CPX-A/O/202526/0029,26-08-2025,Asset,Asset for New/Upgrade of facility,303755,O,O94,PERINTHALMANNA BRANCH - O94 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 25-26,mHE-IT Assets requirement for Perinthalmanna branc,Sent for Approval,26-08-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,HP 136nw Printer (MFP),Central,IT-Hardware,16907,1,16907,0,,16907,mHE-IT Assets requirement for  Perinthalmanna bran,,0,0,,,
CPX-A/O/202526/0029,26-08-2025,Asset,Asset for New/Upgrade of facility,303755,O,O94,PERINTHALMANNA BRANCH - O94 (BO),South,COK,Dom Exp,Ops through IT,Yes,FY 25-26,mHE-IT Assets requirement for Perinthalmanna branc,Sent for Approval,26-08-2025,,,User - Abhishek Gowda ,COMPUTER,COMPUTER,THINCLIENT,Central,IT-Hardware,23617,6,23617,0,,141702,mHE-IT Assets requirement for Perinthalmanna branc,,0,0,,,
